Project Name,Funding ($M),Tasks Required,"Free to Join(Yes=1, No=0)","VC Backing(Yes=1, No=0)",Airdrop Longevity (Days),Token Utility,Team Size,"GitHub Activity(Low=0, Medium=1, High=2)",Twitter Followers,Community Size,"Market Condition(Bull=1, Bear= -1, Neutral=0)",Blockchain,Sector,Initial Value ($),Peak Value ($),Average value($),Success Score (0-10)
Starknet,50.0,Testnet,1,1,7,"Governance, Staking",45,2,280000,130000,1,Starknet,Layer 2,1.29,2.44,1.865,9.3
Injective,12.0,Trading,1,1,7,"Governance, Staking",25,2,180000,85000,1,Injective,DeFi,7.0,44.1,25.55,8.6
Worldcoin,115.0,Biometric,1,1,7,"Governance, Identity",80,2,1500000,700000,1,Ethereum,Identity,1.7,7.5,4.6,3.5
Aleph.im,3.7,Unknown,0,1,30,"Utility, Cloud",15,1,90000,40000,1,Ethereum,Cloud,0.06,0.6,0.32999999999999996,6.7
Across Protocol,5.0,Bridge Usage,1,1,7,"Governance, Bridge",10,1,90000,40000,-1,Ethereum,DeFi,0.1,0.18,0.14,5.0
Avalanche,42.0,Unknown,0,1,7,"Governance, Layer 1",50,2,320000,150000,1,Avalanche,Layer 1,0.5,146.22,73.36,9.0
Crust Network,3.0,Unknown,0,1,7,"Utility, Storage",20,1,90000,40000,1,Polkadot,Storage,4.5,153.0,78.75,7.3
Cudos,8.2,Unknown,0,1,30,"Utility, Cloud",20,1,120000,50000,1,Ethereum,Cloud,0.01,0.05,0.030000000000000002,6.3
DIA,15.0,Unknown,0,1,30,"Utility, Oracle",25,1,120000,50000,1,Ethereum,Oracle,0.28,5.45,2.865,7.3
Synapse,12.0,Bridge Usage,1,1,7,"Governance, Bridge",15,1,120000,50000,1,Multi-chain,DeFi,1.2,3.99,2.595,6.8
EOS,4200.0,Unknown,0,1,7,"Governance, Layer 1",100,1,320000,150000,1,EOS,Layer 1,0.99,22.89,11.94,4.2
Filecoin,257.0,Unknown,0,1,7,"Utility, Storage",50,2,450000,200000,1,Filecoin,Storage,26.0,237.24,131.62,8.8
Flux,2.0,Unknown,0,1,7,"Utility, Cloud",25,2,150000,60000,-1,Flux,Cloud,0.01,4.17,2.09,8.1
Loopring,45.0,Unknown,0,1,7,"Governance, Layer 2",25,2,180000,80000,-1,Ethereum,Layer 2,0.02,3.83,1.925,8.0
Numeraire,11.0,Data Science,1,1,7,"Utility, AI",15,2,120000,50000,-1,Ethereum,AI,14.03,168.49,91.26,7.6
Solana Name Service,0.0,Domain,1,0,7,"Governance, Domain",15,1,120000,50000,1,Solana,Domain,0.85,2.84,1.845,6.9
Polkadot,145.0,Unknown,0,1,7,"Governance, Staking",50,2,450000,200000,1,Polkadot,Layer 1,6.3,49.69,27.994999999999997,8.5
Tezos,232.0,Unknown,0,1,7,"Governance, Layer 1",60,2,220000,90000,1,Tezos,Layer 1,0.47,9.12,4.795,4.8
Umbrella Network,5.0,Unknown,0,1,30,"Governance, Oracle",15,1,120000,50000,1,Ethereum,Oracle,0.62,5.07,2.845,6.5
ZKSpace,8.5,Unknown,0,1,30,"Governance, Layer 2",25,1,120000,50000,-1,Ethereum,Layer 2,0.04,0.12,0.08,6.0
1inch,12.0,Unknown,1,1,7,Governance,20,2,450000,180000,1,Ethereum,DeFi,2.5,7.87,5.1850000000000005,7.8
Decentral Games,7.0,Gaming,1,1,7,"Governance, Gaming",25,1,180000,80000,1,Polygon,Gaming,0.07,0.58,0.32499999999999996,7.3
Alchemix,0.5,Unknown,1,1,7,"Governance, Lending",10,1,100000,40000,1,Ethereum,DeFi,75.0,2231.3,1153.15,8.1
Gods Unchained,15.0,Gaming,1,1,7,"Governance, Gaming",40,2,320000,150000,1,Ethereum,Gaming,0.55,8.97,4.760000000000001,8.2
Merit Circle,4.5,Gaming,1,1,7,"Governance, Gaming",25,1,180000,80000,1,Ethereum,Gaming,1.28,7.28,4.28,7.8
The Graph,10.0,Indexing,1,1,7,"Governance, Indexing",30,2,280000,120000,1,Ethereum,Web3,0.26,2.88,1.5699999999999998,8.7
SushiSwap,0.0,Liquidity,1,0,7,"Governance, AMM",20,2,250000,100000,1,Ethereum,DeFi,0.47,23.38,11.924999999999999,8.5
Bloktopia,4.2,Metaverse,0,1,30,"Governance, Metaverse",30,1,250000,100000,1,Polygon,Metaverse,0.00361,0.17,0.08680500000000001,7.9
Metahero,10.0,Metaverse,0,1,30,"Governance, Metaverse",25,1,320000,150000,1,BNB Chain,Metaverse,0.003,0.25,0.1265,7.6
Centrifuge,4.5,Unknown,1,1,7,"Governance, DeFi",25,1,100000,40000,1,Polkadot,DeFi,0.33,2.33,1.33,7.2
Covalent,37.0,Unknown,1,1,7,"Governance, Data",30,2,150000,60000,1,Ethereum,Data,1.25,2.55,1.9,7.0
Tellor,0.6,Mining,1,1,7,"Governance, Oracle",15,1,90000,40000,-1,Ethereum,Oracle,0.6,357.0,178.8,8.2
Genopets,8.3,Move-to-Earn,0,1,7,"Governance, Gaming",30,1,220000,90000,-1,Solana,Move-to-Earn,4.5,18.0,11.25,7.2
Stepn,5.0,Move-to-Earn,0,1,7,"Governance, Utility",30,2,680000,300000,-1,Solana,Move-to-Earn,0.01,4.11,2.06,9.1
LayerZero,173.0,Unknown,1,1,7,"Governance, Bridge",30,2,250000,100000,0,Multi-chain,Infrastructure,1.35,7.5,4.425,8.0
Mantle,200.0,Unknown,1,1,7,"Governance, Layer 2",40,2,250000,100000,1,Ethereum,Layer 2,0.5,0.95,0.725,6.5
Rarible,1.8,NFT,1,1,7,"Governance, NFT",20,1,220000,90000,1,Ethereum,NFT,0.6,34.0,17.3,8.6
Mirror Protocol,7.5,Unknown,1,1,7,"Governance, Synthetics",15,1,120000,50000,1,Terra,DeFi,1.13,13.23,7.18,5.0
Ribbon Finance,8.5,Protocol Usage,1,1,30,"Governance, Fee Sharing",12,1,120000,50000,1,Ethereum,DeFi,0.48,2.74,1.61,8.3
Farcaster,30.0,Social,1,1,7,"Governance, Social",25,2,280000,120000,1,Ethereum,Social,3.5,7.8,5.65,7.8
Opyn,3.7,Unknown,1,1,7,"Governance, Options",15,1,90000,35000,1,Ethereum,DeFi,0.01,0.03,0.02,6.0
Bifrost,2.2,Staking,0,1,7,"Governance, DeFi",15,1,90000,40000,1,Polkadot,DeFi,0.65,2.1,1.375,6.7
Efinity,18.9,Staking,0,1,7,"Governance, NFT",20,1,150000,60000,-1,Polkadot,NFT,0.2,0.45,0.325,5.6
Cosmos,17.0,Staking,1,1,7,"Governance, Staking",30,2,280000,120000,-1,Cosmos,Layer 1,7.0,44.7,25.85,8.0
Stargaze,0.0,Staking,1,0,7,"Governance, NFT",10,1,90000,40000,-1,Cosmos,NFT,0.02,0.09,0.055,6.2
Sorare,680.0,Unknown,1,1,7,"Governance, Sports",60,2,320000,150000,-1,Ethereum,Sports,5.0,8.5,6.75,7.5
Galxe,8.0,Tasks,1,1,30,"Governance, Utility",25,1,280000,150000,-1,Ethereum,Web3,2.5,3.86,3.1799999999999997,6.9
Base,300.0,Testnet,1,1,7,"Governance, Layer 2",60,2,350000,150000,1,Ethereum,Layer 2,1.2,2.5,1.85,7.0
TrueFi,12.5,Unknown,1,1,7,"Governance, Lending",20,1,150000,60000,1,Ethereum,DeFi,0.09,0.85,0.47,7.0
Wormhole,225.0,Unknown,1,1,7,"Governance, Bridge",40,2,220000,90000,-1,Multi-chain,Infrastructure,3.5,7.25,5.375,7.8
Raydium,2.0,Trading,1,1,15,"Governance, Staking",15,1,150000,70000,1,Solana,DeFi,8.0,16.1,12.05,8.9
Trader Joe,5.0,Trading,1,1,15,"Governance, Fee Sharing",15,1,150000,70000,1,Avalanche,DeFi,0.27,4.4,2.335,9.0
Arbitrum,120.0,Unknown,1,1,7,Governance,45,2,625000,280000,0,Ethereum,Layer 2,1.25,1.88,1.565,6.8
Unstoppable Domains,65.0,Domain,1,1,7,"Governance, Domain",40,2,180000,80000,-1,Polygon,Domain,0.52,1.25,0.885,6.5
Polygon,5.6,Unknown,0,1,7,"Governance, Layer 2",50,2,420000,180000,-1,Ethereum,Layer 2,0.00263,2.92,1.461315,9.3
My Neighbor Alice,5.6,Gaming,0,1,7,"Governance, Gaming",30,1,280000,120000,1,Ethereum,Gaming,1.42,40.93,21.175,8.5
Wilder World,3.0,Metaverse,0,1,30,"Governance, Metaverse",35,2,280000,120000,1,Ethereum,Metaverse,0.15,8.98,4.565,8.3
Sweatcoin,13.0,Move-to-Earn,1,1,7,"Governance, Utility",40,1,850000,400000,-1,Near,Move-to-Earn,0.05,0.09,0.07,6.2
Ontology,0.0,NEO Holders,1,1,7,"Governance, Layer 1",40,1,280000,120000,-1,Ontology,Layer 1,0.2,11.18,5.6899999999999995,3.5
Blur,11.0,Trading,1,1,7,"Governance, Fee Reduction",15,1,300000,120000,0,Ethereum,NFT,0.5,1.36,0.93,7.2
The Sandbox,93.0,Unknown,1,1,7,"Governance, Metaverse",80,2,380000,150000,1,Ethereum,Metaverse,0.05,8.4,4.2250000000000005,9.3
Arweave,8.7,Unknown,0,1,7,"Utility, Storage",25,2,180000,80000,-1,Arweave,Storage,0.74,89.24,44.989999999999995,8.9
Ankr,18.7,Unknown,0,1,7,"Utility, Cloud",30,2,180000,80000,-1,Ethereum,Cloud,0.007,0.21,0.1085,7.5
Stargate Finance,25.0,Bridge Usage,1,1,7,"Governance, Bridge",20,1,180000,80000,-1,Multi-chain,DeFi,0.56,4.2,2.38,7.2
IoTeX,14.0,Unknown,0,1,7,"Utility, IoT",30,2,180000,80000,-1,IoTeX,IoT,0.007,0.26,0.1335,7.2
Metis,100.0,Unknown,0,1,30,"Governance, Layer 2",30,2,150000,60000,1,Ethereum,Layer 2,75.0,323.0,199.0,7.5
Gitcoin,11.3,Contributions,1,1,7,Governance,25,2,280000,120000,1,Ethereum,Web3,4.0,16.82,10.41,8.0
Ocean Protocol,28.0,Unknown,0,1,7,"Utility, Data",30,2,180000,80000,-1,Ethereum,Data,0.03,1.94,0.985,7.8
Oraichain,2.3,Unknown,0,1,30,"Governance, Oracle",20,1,100000,40000,1,Cosmos,Oracle,3.5,50.0,26.75,7.1
SingularityNET,36.0,Unknown,0,1,7,"Utility, AI",40,2,180000,80000,1,Ethereum,AI,0.1,1.86,0.9800000000000001,7.9
Star Atlas,20.0,Unknown,0,1,7,"Governance, Gaming",70,2,320000,150000,1,Solana,Gaming,0.00138,0.22,0.11069,7.5
Storj,30.0,Unknown,0,1,7,"Utility, Storage",30,2,150000,60000,-1,Ethereum,Storage,0.05,3.91,1.98,7.5
Voyager,60.0,Unknown,0,1,7,Exchange,120,1,280000,120000,-1,Ethereum,Exchange,0.16,7.28,3.72,1.2
Voyager Token,60.0,Unknown,0,1,7,"Utility, Exchange",120,1,280000,120000,-1,Ethereum,Exchange,0.16,7.28,3.72,1.2
Alien Worlds,2.0,Gaming,1,1,7,"Governance, Gaming",20,1,350000,150000,1,WAX,Gaming,0.84,7.16,4.0,7.8
API3,3.0,Unknown,1,1,7,"Utility, Oracle",20,1,150000,60000,1,Ethereum,Oracle,0.3,10.31,5.305000000000001,7.9
Yield Guild Games,12.5,Gaming,1,1,7,"Governance, Gaming",30,2,250000,100000,1,Ethereum,Gaming,0.5,10.94,5.72,8.7
Axelar,25.0,Unknown,1,1,7,"Governance, Bridge",25,2,180000,80000,-1,Cosmos,Infrastructure,0.15,0.89,0.52,7.5
Dopex,5.0,Unknown,1,1,7,"Governance, Options",10,1,100000,40000,1,Arbitrum,DeFi,250.0,2100.0,1175.0,7.8
Goldfinch,25.0,Unknown,1,1,7,"Governance, Lending",25,1,120000,50000,-1,Ethereum,DeFi,4.98,25.61,15.295,7.2
Harvest Finance,0.0,Unknown,1,0,7,"Governance, Yield",10,1,120000,50000,1,Ethereum,DeFi,80.0,2425.0,1252.5,7.2
Hyperlane,18.5,Unknown,1,1,7,"Governance, Bridge",20,2,120000,50000,0,Multi-chain,Infrastructure,0.85,1.75,1.3,6.5
Liquity,2.4,Unknown,1,1,7,"Governance, Stablecoin",10,2,120000,50000,1,Ethereum,DeFi,16.0,125.0,70.5,7.8
Bored Ape Yacht Club,450.0,NFT,1,1,7,"Governance, NFT",30,2,650000,300000,-1,Ethereum,NFT,8.5,26.7,17.6,8.8
Maple Finance,11.0,Unknown,1,1,7,"Governance, Lending",15,1,120000,50000,1,Ethereum,DeFi,14.71,53.68,34.195,7.3
RMRK,6.0,NFT,1,1,7,"Governance, NFT",15,2,120000,50000,1,Kusama,NFT,6.3,49.0,27.65,8.1
SuperRare,9.0,NFT,1,1,7,"Governance, NFT",25,1,180000,80000,1,Ethereum,NFT,0.89,3.23,2.06,7.4
Pocket Network,9.5,Node,1,1,7,"Utility, Infrastructure",20,2,120000,50000,1,Pocket,Infrastructure,0.03,2.59,1.3099999999999998,7.9
Nest Protocol,6.0,Unknown,1,1,7,"Governance, Oracle",20,1,150000,60000,1,Ethereum,Oracle,0.01,0.18,0.095,6.8
Moonbeam,70.0,Staking,0,1,7,"Governance, Staking",30,2,220000,90000,-1,Polkadot,Layer 1,1.42,4.16,2.79,6.8
Parallel Finance,160.0,Staking,0,1,7,"Governance, DeFi",30,1,120000,50000,-1,Polkadot,DeFi,1.8,4.5,3.15,5.5
Phala Network,5.0,Staking,0,1,7,"Governance, Privacy",25,1,120000,50000,1,Polkadot,Privacy,0.8,1.27,1.0350000000000001,6.3
Rally,22.0,Unknown,1,1,7,"Governance, Social",25,1,180000,80000,1,Ethereum,Social,0.02,1.4,0.71,7.5
Illuvium,5.0,Staking,1,1,7,"Governance, Gaming",40,2,280000,120000,1,Ethereum,Gaming,50.0,1914.0,982.0,9.0
Juno,0.0,Staking,1,0,7,"Governance, Smart Contract",15,2,120000,50000,1,Cosmos,Layer 1,7.0,45.7,26.35,7.5
Stride,3.0,Staking,1,1,7,"Governance, Liquid Staking",10,1,80000,35000,-1,Cosmos,DeFi,0.15,0.5,0.325,6.5
UMA,4.0,Unknown,1,1,7,"Governance, Oracle",20,2,180000,80000,0,Ethereum,Oracle,0.26,43.37,21.814999999999998,8.5
Uniswap,11.0,Unknown,1,1,7,Governance,25,2,675000,250000,1,Ethereum,DeFi,3.0,44.92,23.96,9.5
UXD Protocol,8.0,Unknown,1,1,7,"Governance, Stablecoin",10,1,80000,30000,-1,Solana,DeFi,0.98,1.05,1.0150000000000001,4.5
Perpetual Protocol,8.5,Trading,1,1,7,"Governance, Trading",20,2,150000,60000,1,Ethereum,DeFi,0.53,23.15,11.84,8.0
Cardano,62.0,Unknown,0,1,7,"Governance, Layer 1",200,2,1200000,500000,1,Cardano,Layer 1,0.02,3.1,1.56,4.9
Near Protocol,33.0,Unknown,0,1,7,"Governance, Layer 1",40,2,280000,120000,1,Near,Layer 1,0.17,20.44,10.305000000000001,8.5
Gala Games,21.0,Gaming,1,1,7,"Governance, Gaming",60,2,420000,180000,1,Ethereum,Gaming,0.00086,0.82,0.41042999999999996,9.5
LooksRare,0.0,NFT,1,0,7,"Governance, NFT",20,1,280000,120000,-1,Ethereum,NFT,0.69,7.07,3.88,7.7
Basic Attention Token,35.0,Unknown,0,1,7,"Utility, Advertising",30,2,380000,180000,-1,Ethereum,Advertising,0.04,1.92,0.98,8.5
Brave Attention Token,35.0,Unknown,0,1,7,"Utility, Advertising",30,2,380000,180000,-1,Ethereum,Advertising,0.04,1.92,0.98,8.5
Decentraland,24.0,Unknown,0,1,7,"Governance, Metaverse",40,2,320000,140000,-1,Ethereum,Metaverse,0.02,5.9,2.96,8.9
Fetch.ai,6.0,Unknown,0,1,7,"Utility, AI",35,2,150000,60000,-1,Ethereum,AI,0.08,1.19,0.635,7.4
Mina Protocol,18.7,Unknown,0,1,7,"Governance, Layer 1",30,2,220000,90000,1,Mina,Layer 1,0.25,6.13,3.19,8.0
Handshake,10.2,Domain,1,1,7,"Governance, Domain",20,1,150000,60000,0,Handshake,Domain,0.1,0.59,0.345,7.2
MXC,24.0,Unknown,0,1,7,"Utility, IoT",25,1,150000,60000,-1,Ethereum,IoT,0.01,0.07,0.04,6.5
Presearch,6.5,Unknown,0,1,7,"Utility, Search",15,1,150000,60000,-1,Ethereum,Search,0.01,0.46,0.23500000000000001,7.2
Synthetix,30.0,Unknown,0,1,7,"Governance, Synthetics",25,2,180000,80000,-1,Ethereum,DeFi,0.04,28.53,14.285,9.1
Theta,20.0,Unknown,0,1,7,"Utility, Video",35,2,320000,150000,-1,Theta,Video,0.15,15.72,7.9350000000000005,8.7
Axie Infinity,9.0,Gaming,1,1,7,"Governance, Gaming",50,2,550000,250000,1,Ethereum,Gaming,0.15,164.9,82.525,9.8
WINkLink,4.0,Unknown,0,1,7,"Utility, Oracle",30,1,320000,150000,-1,TRON,Oracle,7.8e-05,0.0025,0.001289,7.0
PancakeSwap,0.0,Liquidity,1,0,7,"Governance, AMM",25,2,380000,180000,1,BNB Chain,DeFi,0.26,44.18,22.22,8.7
Brave Search,35.0,Unknown,1,1,7,"Utility, Search",30,2,380000,180000,1,Ethereum,Search,0.04,1.92,0.98,8.5
Dapper Labs,18.0,Unknown,1,1,7,"Governance, NFT",70,2,350000,150000,0,Flow,NFT,0.1,42.4,21.25,8.7
Frax Finance,2.0,Unknown,1,1,7,"Governance, Stablecoin",15,2,150000,60000,1,Ethereum,DeFi,1.5,42.8,22.15,8.4
Immutable X,12.5,NFT,1,1,7,"Governance, NFT",45,2,350000,150000,1,Ethereum,NFT,0.1,9.52,4.81,9.0
Acala,250.0,Staking,0,1,7,"Governance, DeFi",40,2,200000,90000,-1,Polkadot,DeFi,1.27,1.92,1.595,5.8
Astar,22.0,Staking,0,1,7,"Governance, Staking",35,2,180000,80000,-1,Polkadot,Layer 1,0.12,0.31,0.215,6.5
Osmosis,0.0,Staking,1,0,7,"Governance, Staking",20,2,180000,90000,1,Cosmos,DeFi,1.0,11.25,6.125,9.2
Gains Network,0.0,Trading,1,0,7,"Governance, Trading",10,1,120000,50000,1,Polygon,DeFi,0.05,14.72,7.385000000000001,8.7
Dfinity,195.0,Unknown,0,1,7,"Governance, Cloud",180,2,350000,150000,1,Internet Computer,Cloud,750.0,750.0,750.0,4.0
Internet Computer,300.0,Unknown,0,1,7,"Governance, Cloud",200,2,380000,150000,1,Internet Computer,Cloud,750.0,750.0,750.0,4.0
Algorand,62.0,Unknown,0,1,7,"Governance, Layer 1",110,2,280000,120000,-1,Algorand,Layer 1,2.4,3.56,2.98,4.7
Band Protocol,10.85,Unknown,0,1,7,"Utility, Oracle",25,2,180000,80000,-1,Cosmos,Oracle,0.22,20.83,10.524999999999999,8.4
Celsius,50.0,Unknown,0,1,7,"Utility, Lending",150,1,320000,150000,-1,Ethereum,DeFi,0.15,8.05,4.1000000000000005,0.8
Nervos Network,100.0,Unknown,0,1,7,"Governance, Layer 1",30,1,150000,60000,-1,Nervos,Layer 1,0.01,0.04,0.025,4.5
ENS,0.0,Domain Registration,1,0,7,Governance,15,1,420000,180000,1,Ethereum,Web3,33.9,83.4,58.650000000000006,8.5
Ethereum Name Service,0.0,Domain Registration,1,0,7,"Governance, Domain",15,1,420000,180000,1,Ethereum,Web3,33.9,83.4,58.650000000000006,8.5
Balancer,3.0,Liquidity,1,1,7,"Governance, AMM",20,2,180000,80000,1,Ethereum,DeFi,6.65,74.45,40.550000000000004,8.3
Badger DAO,0.0,Unknown,1,0,7,"Governance, Yield",15,1,150000,60000,1,Ethereum,DeFi,1.74,75.49,38.614999999999995,7.5
Evmos,0.0,Staking,1,0,7,"Governance, Smart Contract",15,2,120000,50000,-1,Cosmos,Layer 1,1.69,6.84,4.265,7.0
Chiliz,66.0,Unknown,0,1,7,"Governance, Sports",40,2,280000,120000,-1,Ethereum,Sports,0.01,0.89,0.45,8.0
Zilliqa,22.0,Unknown,0,1,7,"Governance, Layer 1",25,1,220000,90000,1,Zilliqa,Layer 1,0.01,0.23,0.12000000000000001,3.2
Rocket Pool,0.0,Node,1,0,7,"Governance, Liquid Staking",15,2,150000,60000,1,Ethereum,DeFi,15.19,59.46,37.325,8.2
Moonriver,0.0,Staking,0,0,7,"Governance, Staking",25,2,150000,70000,1,Kusama,Layer 1,55.0,413.0,234.0,8.3
Convex Finance,0.0,Staking,1,0,7,"Governance, Yield",10,2,150000,60000,1,Ethereum,DeFi,4.31,62.69,33.5,8.9
GMX,2.1,Trading,1,1,7,"Governance, Trading",15,2,180000,80000,1,Arbitrum,DeFi,0.71,62.1,31.405,9.2
Chainlink,32.0,Unknown,0,1,7,"Utility, Oracle",35,2,520000,220000,-1,Ethereum,Oracle,0.11,52.88,26.495,9.7
Helium,38.8,Mining,1,1,7,"Governance, Utility",40,2,220000,90000,-1,Helium,IoT,0.25,54.88,27.565,9.6
Solana,25.6,Unknown,0,1,7,"Governance, Layer 1",60,2,380000,150000,0,Solana,Layer 1,0.22,260.06,130.14000000000001,9.5
NEO,0.0,Unknown,0,1,7,"Governance, Layer 1",25,2,350000,150000,-1,NEO,Layer 1,0.03,196.85,98.44,4.5
Curve,0.0,Liquidity,1,0,7,"Governance, AMM",15,2,220000,90000,1,Ethereum,DeFi,0.58,6.4,3.49,9.0
NXT,0.0,Unknown,0,1,7,Platform,10,1,25000,10000,-1,NXT,Layer 1,1.68e-05,2.15,1.0750084,3.0
